caso;id_caso;asignada_a;reportado_el;prioridad;nro_doc_contacto;fecha_cambio_estado;motivo;estado;motivos_de_estado;contacto_relacionado;contacto_region;contacto_email;etiqueta
118;872;ACAP;2 feb. 2024 14:46;Media;;2 feb. 2024 14:46;ACAP;En curso;4. Avanzado;Reserva Costanera Sur Reserva Costanera Sur;;;2024 Participa
117;871;ACAP;2 feb. 2024 14:21;Media;;2 feb. 2024 15:03;ACAP;En curso;3. En proceso;Reserva Natural Lago Lugano Reserva Natural Lago Lugano;;;2024 Participa
116;870;ACAP;1 feb. 2024 16:34;Media;;1 feb. 2024 16:35;ACAP;En curso;3. En proceso;Ente de Turismo (ENTUR) Ente de Turismo;Ciudad Autónoma de Buenos Aires;;2024 Participa
115;869;ACAP;1 feb. 2024 14:11;Media;;1 feb. 2024 14:11;ACAP;En curso;3. En proceso;Oracle Oracle Argentina S.R.L;;;2024
114;868;ACAP;1 feb. 2024 14:09;Media;;1 feb. 2024 14:09;ACAP;En curso;3. En proceso;Oracle Oracle Argentina S.R.L;;;2024
113;867;ACAP;1 feb. 2024 14:07;Media;;1 feb. 2024 14:08;ACAP;En curso;4. Avanzado;Dirección General de Personal Docente y No Docente (DGPDYND) Dirección General de Personal Docente y No Docente (DGPDYND);;;2024
112;866;ACAP;1 feb. 2024 13:59;Media;;1 feb. 2024 13:59;ACAP;En curso;4. Avanzado;Dirección General de Personal Docente y No Docente (DGPDYND) Dirección General de Personal Docente y No Docente (DGPDYND);;;2024
111;865;ACAP;1 feb. 2024 13:39;Media;;1 feb. 2024 13:39;ACAP;En curso;3. En proceso;Sede Comunal 10 Sede Comunal 10;;;2024 Participa
110;864;ACAP;1 feb. 2024 13:35;Media;;1 feb. 2024 13:35;ACAP;En curso;4. Avanzado;Sede Comunal 10 Sede Comunal 10;;;2024 Participa
109;863;ACAP;1 feb. 2024 09:26;Media;;1 feb. 2024 09:26;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
108;862;ACAP;1 feb. 2024 09:24;Media;;1 feb. 2024 09:24;ACAP;En curso;4. Avanzado;CPCECABA Consejo Profesional de Ciencias Económicas;;;2024
